中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,85 ms,324 Mbps,41574 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,32 ms,690 Mbps,88371 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,406 Mbps,52019 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,668 Mbps,85606 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,510 Mbps,65331 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,285 Mbps,36556 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,119 ms,214 Mbps,27443 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,7 ms,61 Mbps,7918 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,284 Mbps,36352 kB/s
152.67.153.4,443,2a0b:21c0:1007:c9:0:eafd:8d2e:1149,DE,Frankfurt,隧道,96 ms,121 Mbps,15564 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,46 Mbps,5983 kB/s
138.3.254.39,443,138.3.254.39,DE,222 Mbps,28467 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,67 ms,200 Mbps,25702 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,104 ms,45 Mbps,5768 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,71 ms,381 Mbps,48844 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,6 ms,104 Mbps,13414 kB/s
129.146.46.164,443,129.146.46.164,US,348 Mbps,44646 kB/s
141.148.241.207,443,2a0b:21c0:100a:1b5:0:3be3:27dc:b666,DE,Frankfurt,隧道,102 ms,116 Mbps,14848 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,95 ms,33 Mbps,4347 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,103 ms,222 Mbps,28467 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,45 Mbps,5781 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,69 ms,276 Mbps,35328 kB/s
144.21.42.254,443,2a0b:21c0:1007:1c8:0:49ed:6046:600c,DE,Frankfurt,隧道,127 ms,221 Mbps,28364 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,104 ms,248 Mbps,31744 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,77 ms,316 Mbps,40550 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,85 ms,318 Mbps,40755 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,101 ms,103 Mbps,13209 kB/s
129.159.32.14,443,129.159.32.14,US,San Jose,中转,73 ms,300 Mbps,38502 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,215 Mbps,27545 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,88 ms,1 Mbps,184 kB/s
132.226.31.178,443,2a09:bac5:60e9:1173::1bd:119,US,Los Angeles,隧道,62 ms,46 Mbps,5940 kB/s
141.148.232.187,443,2606:f240:f00:6acf:0:5d4b:a64c:2922,US,Frankfurt,隧道,99 ms,212 Mbps,27136 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,103 ms,46 Mbps,5990 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,130 ms,248 Mbps,31744 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,71 ms,40 Mbps,5233 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,89 ms,31 Mbps,4088 kB/s
144.21.38.47,443,2a0b:21c0:100a:1fa:0:c60:38db:3673,DE,Frankfurt,隧道,101 ms,245 Mbps,31436 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,116 Mbps,14950 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,118 ms,25 Mbps,3273 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,231 ms,68 Mbps,8812 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,109 ms,26 Mbps,3407 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,83 ms,45 Mbps,5875 kB/s
129.159.194.174,443,129.159.32.14,US,San Jose,隧道,97 ms,41 Mbps,5289 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,100 ms,236 Mbps,30310 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,106 ms,221 Mbps,28364 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,191 ms,75 Mbps,9716 kB/s
129.159.26.154,443,2a0b:21c0:1007:1cb:0:a90:bc8d:ade4,DE,Frankfurt,隧道,141 ms,144 Mbps,18432 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,143 ms,2 Mbps,365 kB/s
138.2.165.86,443,2a0b:21c0:1007:c7:0:a734:1d9:9bed,DE,Frankfurt,隧道,110 ms,115 Mbps,14745 kB/s
192.9.158.188,443,2a09:bac5:6442:1246::1d2:2a,US,San Jose,隧道,118 ms,186 Mbps,23859 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,239 ms,76 Mbps,9840 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,209 ms,41 Mbps,5360 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,237 ms,79 Mbps,10137 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,199 ms,65 Mbps,8359 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,185 ms,44 Mbps,5652 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,191 ms,51 Mbps,6640 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,239 ms,64 Mbps,8288 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,41 Mbps,5349 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,229 ms,110 Mbps,14131 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,229 ms,100 Mbps,12902 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,201 ms,80 Mbps,10240 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,264 Mbps,33894 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,277 ms,0 Mbps,119 kB/s
138.3.215.28,443,129.159.32.14,US,San Jose,隧道,229 ms,35 Mbps,4524 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,202 ms,91 Mbps,11673 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,263 ms,94 Mbps,12083 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,69 ms,428 Mbps,54886 kB/s
168.138.215.251,443,168.138.215.251,JP,Tokyo,中转,269 ms,31 Mbps,3970 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,217 ms,63 Mbps,8090 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,228 ms,2 Mbps,276 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,119 ms,29 Mbps,3788 kB/s
