中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,32 ms,793 Mbps,101580 kB/s,101580.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,32 ms,690 Mbps,88371 kB/s,88371.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,668 Mbps,85606 kB/s,85606.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,510 Mbps,65331 kB/s,65331.0
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,70 ms,462 Mbps,59187 kB/s,59187.0
165.1.74.145,443,165.1.74.145,US,San Jose,中转,69 ms,428 Mbps,54886 kB/s,54886.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,406 Mbps,52019 kB/s,52019.0
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,71 ms,381 Mbps,48844 kB/s,48844.0
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,75 ms,344 Mbps,44134 kB/s,44134.0
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,85 ms,324 Mbps,41574 kB/s,41574.0
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,84 ms,320 Mbps,41062 kB/s,41062.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,85 ms,318 Mbps,40755 kB/s,40755.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,77 ms,316 Mbps,40550 kB/s,40550.0
129.159.32.14,443,129.159.32.14,US,San Jose,中转,73 ms,300 Mbps,38502 kB/s,38502.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,285 Mbps,36556 kB/s,36556.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,284 Mbps,36352 kB/s,36352.0
152.70.117.174,443,152.70.117.174,US,San Jose,中转,69 ms,276 Mbps,35328 kB/s,35328.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,264 Mbps,33894 kB/s,33894.0
141.148.238.27,443,2a0b:21c0:100a:1b6:0:4476:81cb:fc8f,DE,Frankfurt,隧道,168 ms,260 Mbps,33382 kB/s,33382.0
141.144.246.63,443,2a0b:21c0:1007:c9:0:6468:d086:7c7a,DE,Frankfurt,隧道,107 ms,252 Mbps,32256 kB/s,32256.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,130 ms,248 Mbps,31744 kB/s,31744.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,104 ms,248 Mbps,31744 kB/s,31744.0
144.21.38.47,443,2a0b:21c0:100a:1fa:0:c60:38db:3673,DE,Frankfurt,隧道,101 ms,245 Mbps,31436 kB/s,31436.0
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,100 ms,236 Mbps,30310 kB/s,30310.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,103 ms,222 Mbps,28467 kB/s,28467.0
144.21.42.254,443,2a0b:21c0:1007:1c8:0:49ed:6046:600c,DE,Frankfurt,隧道,127 ms,221 Mbps,28364 kB/s,28364.0
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,106 ms,221 Mbps,28364 kB/s,28364.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,215 Mbps,27545 kB/s,27545.0
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,119 ms,214 Mbps,27443 kB/s,27443.0
141.148.232.187,443,2606:f240:f00:6acf:0:5d4b:a64c:2922,US,Frankfurt,隧道,99 ms,212 Mbps,27136 kB/s,27136.0
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,67 ms,200 Mbps,25702 kB/s,25702.0
192.9.158.188,443,2a09:bac5:6442:1246::1d2:2a,US,San Jose,隧道,118 ms,186 Mbps,23859 kB/s,23859.0
141.147.99.240,443,2a0b:21c0:100a:1fa:0:8869:8e9f:c97f,DE,Frankfurt,隧道,113 ms,180 Mbps,23142 kB/s,23142.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,150 ms,162 Mbps,20787 kB/s,20787.0
129.159.26.154,443,2a0b:21c0:1007:1cb:0:a90:bc8d:ade4,DE,Frankfurt,隧道,141 ms,144 Mbps,18432 kB/s,18432.0
152.67.153.4,443,2a0b:21c0:1007:c9:0:eafd:8d2e:1149,DE,Frankfurt,隧道,96 ms,121 Mbps,15564 kB/s,15564.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,79 ms,121 Mbps,15564 kB/s,15564.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,116 Mbps,14950 kB/s,14950.0
141.148.241.207,443,2a0b:21c0:100a:1b5:0:3be3:27dc:b666,DE,Frankfurt,隧道,102 ms,116 Mbps,14848 kB/s,14848.0
138.2.165.86,443,2a0b:21c0:1007:c7:0:a734:1d9:9bed,DE,Frankfurt,隧道,110 ms,115 Mbps,14745 kB/s,14745.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,229 ms,110 Mbps,14131 kB/s,14131.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,6 ms,104 Mbps,13414 kB/s,13414.0
150.230.34.116,443,150.230.34.116,US,San Jose,中转,101 ms,103 Mbps,13209 kB/s,13209.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,229 ms,100 Mbps,12902 kB/s,12902.0
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,263 ms,94 Mbps,12083 kB/s,12083.0
