中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,662 Mbps,84787 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,78 Mbps,10035 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,17 ms,1024 Mbps,131072 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,363 Mbps,46489 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,40 ms,600 Mbps,76800 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,31 ms,38 Mbps,4963 kB/s
129.146.46.164,443,129.146.46.164,US,340 Mbps,43622 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,64 ms,457 Mbps,58572 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,42 ms,298 Mbps,38195 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,70 ms,41 Mbps,5260 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1200 Mbps,153600 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,40 ms,581 Mbps,74444 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,317 Mbps,40652 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,42 ms,1448 Mbps,185344 kB/s
132.226.31.178,443,2a09:bac5:60ef:1173::1bd:99,US,Los Angeles,隧道,24 ms,49 Mbps,6351 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,54 ms,531 Mbps,67993 kB/s
3.144.191.4,443,3.144.191.4,US,Toronto,中转,60 ms,405 Mbps,51916 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,128 ms,204 Mbps,26214 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,177 ms,160 Mbps,20480 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,158 ms,45 Mbps,5771 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,30 ms,228 Mbps,29286 kB/s
